Date,Asian Open,Asian High,Asian Low,Asian Close,Asian Adj Close,Asian Volume,Dmart Open,Dmart High,Dmart Low,Dmart Close,Dmart Adj Close,Dmart Volume,,,,,,,,,,,Dropdown,,,Date,Dmart Volume,Asian Volume
06-09-2021,3342,3347.699951,3305.899902,3315.550049,3292.664551,664394,3959.899902,3960,3902.199951,3921.300049,3921.300049,227165,,,,,,,,,,1,Dmart Volume,,,06-09-2021,227165,664394
07-09-2021,3333.5,3394.600098,3323.850098,3336.25,3313.221924,1285818,3938,3963.699951,3875.100098,3937.550049,3937.550049,357260,,,,,,,,,,2,Asian Volume,,,07-09-2021,357260,1285818
08-09-2021,3345,3361.550049,3297,3336.600098,3313.569336,702598,3945,3977,3921.100098,3932.949951,3932.949951,462531,,,,,,,,,,,,,,08-09-2021,462531,702598
09-09-2021,3305,3359,3305,3346.350098,3323.252197,591745,3934,3964,3908,3950.5,3950.5,154864,,,,,,,,,,Stock,Dmart,,,09-09-2021,154864,591745
13-09-2021,3346.600098,3374,3330.350098,3367.050049,3343.809326,610920,3951,3986.149902,3948.100098,3961.850098,3961.850098,145925,,,,,,,,,,,,,,13-09-2021,145925,610920
14-09-2021,3384.899902,3388.600098,3356.850098,3362.5,3339.290771,569412,3970,4000,3964.899902,3979.699951,3979.699951,203689,,,,,,,,,,,,,,14-09-2021,203689,569412
15-09-2021,3361.850098,3383.949951,3346.949951,3352.300049,3329.161133,587855,3979.899902,3992.199951,3961,3982.600098,3982.600098,339798,,,,,,,,,,,,,,15-09-2021,339798,587855
16-09-2021,3350,3371,3335,3342.100098,3319.031494,516746,3982.600098,4100,3981.050049,4084.5,4084.5,486429,,,,,,,,,,,,,,16-09-2021,486429,516746
17-09-2021,3352,3382,3285.050049,3303.050049,3280.250977,1545695,4124,4294.649902,4120,4239.649902,4239.649902,767511,,,,,,,,,,,,,,17-09-2021,767511,1545695
20-09-2021,3299.949951,3315,3265,3271.550049,3248.968506,689288,4208,4430,4151,4355.899902,4355.899902,438432,,,,,,,,,,,,,,20-09-2021,438432,689288
21-09-2021,3271.550049,3335,3271,3309.199951,3286.358398,922057,4415.100098,4450,4305.049805,4361.950195,4361.950195,437837,,,,,,,,,,,,,,21-09-2021,437837,922057
22-09-2021,3328.5,3329.949951,3288.25,3317.5,3294.601318,825945,4373,4420,4331.200195,4378.649902,4378.649902,243996,,,,,,,,,,,,,,22-09-2021,243996,825945
23-09-2021,3340,3340,3315,3320.649902,3297.729492,694716,4408.950195,4500,4372.350098,4409.899902,4409.899902,325049,,,,,,,,,,,,,,23-09-2021,325049,694716
24-09-2021,3330,3505,3320.850098,3448.600098,3424.796387,2775975,4440,4461,4405,4422.350098,4422.350098,198742,,,,,,,,,,,,,,24-09-2021,198742,2775975
27-09-2021,3461.600098,3470,3417.649902,3430.649902,3406.969971,902449,4435,4448.950195,4292.5,4385.75,4385.75,555192,,,,,,,,,,,,,,27-09-2021,555192,902449
28-09-2021,3424.899902,3429.699951,3350,3379.699951,3356.371826,961271,4397,4421.899902,4294.950195,4315.75,4315.75,305671,,,,,,,,,,,,,,28-09-2021,305671,961271
29-09-2021,3365,3381.699951,3310,3323.050049,3300.112793,973387,4316,4395.950195,4202,4251.200195,4251.200195,377254,,Analysis Value,,,,,,,,,,,,29-09-2021,377254,973387
30-09-2021,3329.899902,3347.699951,3220,3244.649902,3222.253906,2077896,4259.75,4310,4205.25,4250.200195,4250.200195,339960,,Open,4599,,,,,,,,,,,30-09-2021,339960,2077896
01-10-2021,3248,3252.949951,3170,3177.850098,3155.915283,1512332,4250,4284.200195,4220.100098,4235.600098,4235.600098,203932,,High,4603.950195,,,,,,,,,,,01-10-2021,203932,1512332
04-10-2021,3202.800049,3230.5,3178,3201.600098,3179.501465,921241,4393.950195,4464.350098,4232.200195,4257.350098,4257.350098,906261,,Low,4531,,,,,,,,,,,04-10-2021,906261,921241
05-10-2021,3208.550049,3260,3191.649902,3254.75,3232.28418,909337,4284,4284,4246.850098,4257.299805,4257.299805,242566,,52-wk high,5900,,,,,,,,,,,05-10-2021,242566,909337
06-10-2021,3262,3280,3200.649902,3212.25,3190.077637,786378,4292.149902,4295,4205,4218.549805,4218.549805,301394,,52-wk low,3186,,,,,,,,,,,06-10-2021,301394,786378
07-10-2021,3220,3318,3220,3290.850098,3268.135254,1177283,4254.950195,4337,4251,4311.700195,4311.700195,570321,,,,,,,,,,,,,,07-10-2021,570321,1177283
