Date,Open,High,Low,Close,Adj Close,Volume,,,,,
06-09-2021,3959.899902,3960,3902.199951,3921.300049,3921.300049,227165,,,,,
07-09-2021,3938,3963.699951,3875.100098,3937.550049,3937.550049,357260,,,,,
08-09-2021,3945,3977,3921.100098,3932.949951,3932.949951,462531,,,,,
09-09-2021,3934,3964,3908,3950.5,3950.5,154864,,,,,
13-09-2021,3951,3986.149902,3948.100098,3961.850098,3961.850098,145925,,,,,
14-09-2021,3970,4000,3964.899902,3979.699951,3979.699951,203689,,,,,
15-09-2021,3979.899902,3992.199951,3961,3982.600098,3982.600098,339798,,,,,
16-09-2021,3982.600098,4100,3981.050049,4084.5,4084.5,486429,,,,,
17-09-2021,4124,4294.649902,4120,4239.649902,4239.649902,767511,,,,,
20-09-2021,4208,4430,4151,4355.899902,4355.899902,438432,,,,,
21-09-2021,4415.100098,4450,4305.049805,4361.950195,4361.950195,437837,,,,,
22-09-2021,4373,4420,4331.200195,4378.649902,4378.649902,243996,,,,,
23-09-2021,4408.950195,4500,4372.350098,4409.899902,4409.899902,325049,,,,,
24-09-2021,4440,4461,4405,4422.350098,4422.350098,198742,,,,,
27-09-2021,4435,4448.950195,4292.5,4385.75,4385.75,555192,,,,,
28-09-2021,4397,4421.899902,4294.950195,4315.75,4315.75,305671,,,,,
29-09-2021,4316,4395.950195,4202,4251.200195,4251.200195,377254,,,,,06-09-2022
30-09-2021,4259.75,4310,4205.25,4250.200195,4250.200195,339960,,,,Open,4599
01-10-2021,4250,4284.200195,4220.100098,4235.600098,4235.600098,203932,,,,High,4603.950195
04-10-2021,4393.950195,4464.350098,4232.200195,4257.350098,4257.350098,906261,,,,Low,4531
05-10-2021,4284,4284,4246.850098,4257.299805,4257.299805,242566,,,,52-wk high,5900
06-10-2021,4292.149902,4295,4205,4218.549805,4218.549805,301394,,,,52-wk low,3186
07-10-2021,4254.950195,4337,4251,4311.700195,4311.700195,570321,,,,,
08-10-2021,4326.399902,4421.950195,4299.049805,4407.950195,4407.950195,314758,,,,,
11-10-2021,4438,4840,4407,4719.450195,4719.450195,1017160,,,,,
12-10-2021,4780,4895,4718.850098,4739,4739,817027,,,,,
13-10-2021,4777,5595,4760.25,5117.149902,5117.149902,2593684,,,,,
14-10-2021,5194,5420,5180.049805,5323.75,5323.75,1187904,,,,,
18-10-2021,5599,5900,4851.100098,4897.799805,4897.799805,4748382,,,,,
19-10-2021,5000,5100,4725,4754.549805,4754.549805,1804742,,,,,
20-10-2021,4789,4860,4470.25,4596.399902,4596.399902,1677557,,,,,
21-10-2021,4650,4699.5,4500,4521.25,4521.25,1028678,,,,,
22-10-2021,4559,4560,4482,4521.450195,4521.450195,739603,,,,,
25-10-2021,4534.299805,4550,4351,4400.600098,4400.600098,591416,,,,,
26-10-2021,4419,4599,4365,4568.5,4568.5,637834,,,,,
27-10-2021,4600,4770,4591.549805,4733,4733,762605,,,,,
28-10-2021,4748,4776.850098,4620,4675.649902,4675.649902,375073,,,,,
29-10-2021,4669,4725,4561.149902,4635.450195,4635.450195,437818,,,,,
01-11-2021,4670,4708,4550,4564.75,4564.75,392446,,,,,
02-11-2021,4596.700195,4666.799805,4580,4597.049805,4597.049805,304774,,,,,
03-11-2021,4644,4790,4600,4741.299805,4741.299805,462222,,,,,
04-11-2021,4780,4824.799805,4760.049805,4783.700195,4783.700195,136777,,,,,
08-11-2021,4783,4867.299805,4720,4748.5,4748.5,340161,,,,,
09-11-2021,4748,4774.299805,4723.700195,4757.149902,4757.149902,180363,,,,,
10-11-2021,4745,5000,4726,4960.299805,4960.299805,1128493,,,,,
11-11-2021,4960.299805,5040,4901.149902,4997.75,4997.75,735028,,,,,
12-11-2021,5044.950195,5097.649902,5026.950195,5078.549805,5078.549805,487061,,,,,
15-11-2021,5075,5075,4980,5023.299805,5023.299805,324397,,,,,
16-11-2021,5025,5100,4982,5081.5,5081.5,538836,,,,,
17-11-2021,5080,5180,5079.75,5126.399902,5126.399902,447914,,,,,
18-11-2021,5130,5180,5037,5080.899902,5080.899902,428372,,,,,
22-11-2021,5100,5100,4782,4828.299805,4828.299805,650655,,,,,
23-11-2021,4829,4920,4758.149902,4843.299805,4843.299805,580934,,,,,
